"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
45,672640,"Lopez, Otto",2129,2.1,0.364,0,0.4,0.364,0.321,0.264,0.244,4,11,84.6,10.6,2312,88.4,88.51,3,19,26,0.09999999999999432,6.28,109,153,105,148,310,325,295,"0.068","-0.068","69.4","6.6",11,10,4,0,0,0,1,9.1,0,0,2.71467,0.23455,0.204,0.09644,"90.6",146,20,10,9.090909090909092,5.89,-0.94,0.26,1.95,0.364,1,"-0.151111111",0.244,0.38,"0.151111111",0.12,0.12,-0.016,0.057,15.8,"44.9",7.800486099725911,0.5796832946046697,28.566471923833504,0.6842105263157895,37.5368472233225,28.72017055435934
45,650402,"Torres, Gleyber",2652,1.7,0.125,0,0.143,0.125,0.175,0.33,0.186,1,8,89.1,24.9,2360,89.3,89.93,2,20,25,0.6000000000000085,6.56,113,153,124,149,309,329,297,"1.239","-1.239","67.6","7.0",9,7,1,0,0,0,1,11.1,1,11.1,2.51511,0.35909,0.06378,-0.40289,"91.6",194,42.857142857142854,28.57142857142857,22.22222222222222,5.62,-0.52,0.38,2.27,0.222,2,"-2.753333333",0.277,0.501,"2.753333333",-0.061,-0.05500000000000002,-0.376,-0.155,10,"39.3",6.3065401888830035,11.376010809990238,33.34256242443976,0.5263157894736842,38.481010273169694,26.843339370657404
45,660821,"Sánchez, Jesús",1936,2.3,0.182,0.364,0.143,0.545,0.359,0.433,0.284,2,11,96.1,-6.3,2342,88.8,89.09,5,23,22,0.29999999999999716,6.37,119,148,117,152,309,325,305,"-0.578","0.578","73.2","6.6",13,8,0,1,0,1,3,23.1,2,15.4,2.58378,0.33667,0.09378,-0.13644,"93.2",167,62.5,25,15.384615384615385,5.87,-0.95,-0.04,2.38,0.308,2,"1.284444444",0.394,0.648,"-1.284444444",-0.102,-0.08600000000000002,-0.103,-0.074,21.7,"43.0",1.8877998462605472,4.50584138945487,30.487384208240254,0.3333333333333333,33.18153487342988,31.929783266580728
45,678662,"Tovar, Ezequiel",1469,3.1,0.167,0,0.286,0.167,0.147,0.245,0.234,2,12,92.9,20.3,2443,88,88.57,8,27,18,0.5999999999999943,6.43,108,152,112,147,318,322,297,"1.734","-1.734","70.2","7.5",12,7,2,0,0,0,5,41.7,0,0,2.71889,0.24689,-0.03956,-0.08578,"91.7",180,42.857142857142854,14.285714285714285,8.333333333333332,6.18,-1.13,0.29,2.53,0.167,1,"-3.853333333",0.234,0.336,"3.853333333",-0.067,-0.067,-0.169,-0.098,29.6,"43.2",11.914177134361825,2.999393181944415,36.56121142557679,0.5384615384615384,34.98081446223199,28.738866105053162
45,664761,"Bohm, Alec",1801,2.5,0.1,0,0.143,0.1,0.088,0.116,0.115,1,10,90,20,2302,88,87.94,4,23,22,-0.09999999999999432,6.34,114,150,124,148,307,330,291,"1.891","-1.891","69.2","7.1",10,7,1,0,0,0,3,30,0,0,2.66444,0.3514,0.08378,-0.19311,"91.1",149,57.14285714285714,0,0,6.19,-1.03,-0.04,2.4,0.1,0,"-4.202222222",0.115,0.154,"4.202222222",-0.015,-0.015,-0.054,-0.028,17.4,"45.8",3.8593329463993977,8.637617219204314,30.193242875929435,0.391304347826087,36.22255559247539,24.624058309083974
45,592206,"Castellanos, Nick",2166,2.1,0.364,0.182,0.444,0.545,0.388,0.396,0.318,4,11,94.1,22.7,2298,88.8,88.87,3,22,23,0.10000000000000853,6.39,107,149,123,147,309,330,297,"-0.568","0.568","70.3","7.4",11,9,2,2,0,0,2,18.2,0,0,2.51844,0.40867,0.38733,-0.346,"93.0",184,66.66666666666666,11.11111111111111,9.090909090909092,6.21,-0.26,-0.12,2.08,0.364,1,"1.262222222",0.318,0.626,"-1.262222222",0.046,0.045999999999999985,-0.081,-0.008,13.6,"45.4",12.748076832478983,-1.9389312278717363,40.58089422511393,0.6818181818181818,37.29919672823477,28.919707097871804
45,665926,"Giménez, Andrés",1452,3.1,0.333,0.333,0.286,0.667,0.449,0.431,0.361,3,9,83.1,-15.8,2245,90.7,91.38,4,22,23,0.7000000000000028,6.64,118,144,99,149,291,324,307,"-1.783","1.783","69.1","6.8",11,9,2,0,0,1,1,9.1,1,9.1,2.46444,0.34556,0.32222,-0.32222,"91.2",108,44.44444444444444,11.11111111111111,9.090909090909092,5.71,-1.97,-0.03,2.29,0.4,1,"3.962222222",0.425,0.567,"-3.962222222",-0.028,-0.024999999999999967,0.1,0.018,18.2,"36.2",6.979137179393919,1.883038281108849,30.102437250463158,0.35,36.42885229403604,25.831633677974636
44,805779,"Wilson, Jacob",1735,2.5,0.364,0.091,0.364,0.455,0.383,0.336,0.326,4,11,77.5,11,2354,90.4,90.85,1,20,24,0.3999999999999915,6.55,105,151,106,146,306,315,282,"-0.53","0.53","61.9","6.1",13,12,3,1,0,0,0,0,1,7.7,2.20568,0.605,0.34,0.055,"89.8",129,8.333333333333332,0,0,6.13,-0.86,0.05,2.35,0.417,0,"1.204545455",0.382,0.365,"-1.204545455",0.038,0.034999999999999976,0.09,0.047,5,"44.2",2.0818645218010827,-4.846054133548255,34.55864261833124,0.45,33.60261805120447,33.238492228997686
44,666971,"Gurriel Jr., Lourdes",1994,2.2,0.385,0,0.385,0.385,0.315,0.35,0.345,5,13,89.6,11.2,2494,88.5,88.73,4,26,18,0.20000000000000284,6.61,108,148,124,145,308,329,296,"0.572","-0.572","67.2","7.1",14,13,5,0,0,0,1,7.1,0,0,2.64614,0.3375,-0.09136,-0.35364,"91.6",158,30.76923076923077,7.6923076923076925,7.142857142857142,5.94,-0.86,0.06,2.48,0.357,1,"-1.3",0.323,0.524,"1.3",0.04,0.033999999999999975,-0.139,-0.035,15.4,"43.9",7.796753090355825,-0.6074195474804269,37.31151908218627,0.44,35.87422765888605,27.96354329922606
44,686469,"Pasquantino, Vinnie",2572,1.7,0.467,0.067,0.467,0.533,0.436,0.258,0.276,7,15,86.9,10.7,2409,88.9,89.44,1,22,22,0.5,6.62,125,145,127,151,298,327,306,"-1.738","1.738","72.3","7.6",15,15,6,1,0,0,0,0,0,0,2.54136,0.38932,-0.06535,0.16535,"94.2",92,33.33333333333333,0,0,5.91,-1.12,-0.1,2.3,0.467,0,"3.95",0.276,0.316,"-3.95",0.191,0.191,0.217,0.178,4.5,"40.2",9.845738992011055,-9.676893117459652,31.106086280138186,0.5714285714285714,40.97742777903844,32.82023693282143
44,669261,"Suwinski, Jack",806,5.5,0.25,0.125,0.286,0.375,0.352,0.343,0.242,2,8,93.5,18.4,2313,88.8,89.3,3,18,26,0.5,6.6,117,147,112,152,305,321,301,"-0.245","0.245","70.8","7.4",10,7,1,1,0,0,1,10,2,20,2.62568,0.32568,0.10909,-0.10909,"94.8",186,28.57142857142857,0,0,6.04,-2.06,-0.4,2.43,0.4,0,"0.556818182",0.394,0.355,"-0.556818182",0.008,0.006000000000000005,0.02,0.009,16.7,"44.5",16.785864577137307,2.051673416816565,31.27290916599856,0.2222222222222222,37.731322964928445,28.24170358034297
44,693304,"Gonzales, Nick",1405,3.1,0.167,0.083,0.222,0.25,0.164,0.172,0.18,2,12,83.4,15.8,2426,89,89.66,6,26,18,0.7000000000000028,6.73,109,151,111,145,313,319,293,"1.5","-1.5","67.3","7.0",13,9,1,1,0,0,4,30.8,0,0,2.75273,0.17698,0.04023,0.04023,"90.2",134,22.22222222222222,0,0,5.8,-1.61,0.08,2.49,0.154,0,"-3.409090909",0.173,0.22,"3.409090909",-0.013,-0.01899999999999999,0.03,-0.008,23.1,"40.6",3.8757024772531063,8.058441739162982,34.556969659894975,0.38461538461538464,35.5915223979524,26.25560644934484
43,671221,"Waters, Drew",795,5.4,0.111,0,0.167,0.111,0.157,0.187,0.122,1,9,82.6,2.7,2296,88.9,88.94,9,24,19,0,6.3,116,149,108,151,297,321,301,"1.311","-1.311","70.3","6.0",10,6,1,0,0,0,3,30,1,10,2.52907,0.39465,0.31372,-0.31372,"90.0",108,16.666666666666664,0,0,6.03,-0.61,0.35,2.19,0.2,0,"-3.048837209",0.21,0.172,"3.048837209",-0.011,-0.009999999999999981,-0.061,-0.03,37.5,"42.2",-2.010180898688252,13.185302498911206,43.05995187626411,0.20833333333333334,33.069376795319045,24.67751176432195
43,624431,"Trevino, Jose",1063,4,0.333,0.222,0.375,0.556,0.408,0.343,0.266,3,9,86,22.5,2340,89.9,90.12,1,15,28,0.19999999999998863,6.38,102,150,119,147,310,324,290,"-0.596","0.596","69.9","7.1",10,8,1,2,0,0,1,10,1,10,2.45884,0.39674,0.18952,-0.01,"91.1",176,25,12.5,10,6.11,-1.55,0.15,2.04,0.4,1,"1.386046512",0.339,0.451,"-1.386046512",0.067,0.061,0.105,0.065,6.7,"47.4",6.986363670374829,1.226767395914432,23.351594140153733,0.7333333333333333,38.29557901900405,29.167756000052005
43,671739,"Harris II, Michael",2177,2,0.364,0.182,0.5,0.545,0.388,0.181,0.19,4,11,86.1,9.4,2422,89,89.2,4,21,22,0.20000000000000284,6.41,116,141,109,147,302,327,304,"-0.42","0.42","70.6","7.7",12,9,2,2,0,0,3,25,0,0,2.69558,0.22535,0.16977,-0.20837,"92.4",141,33.33333333333333,0,0,5.85,-0.35,-0.36,1.94,0.364,0,"0.976744186",0.19,0.231,"-0.976744186",0.174,0.174,0.314,0.207,19,"38.9",2.959772173711973,-5.784099925227832,30.987155705437548,0.42857142857142855,42.83017545099743,31.22198559221235
43,642086,"Smith, Dominic",848,5.1,0.417,0.167,0.5,0.583,0.429,0.405,0.395,5,12,91.3,11.2,2348,88.8,89.43,5,19,24,0.6000000000000085,6.67,116,146,128,151,299,327,301,"-0.513","0.513","64.1","6.5",12,10,3,2,0,0,2,16.7,0,0,2.78047,0.14953,0.08405,-0.08405,"93.1",172,40,0,0,5.75,-1.63,-0.18,2.38,0.417,0,"1.193023256",0.395,0.544,"-1.193023256",0.022,0.021999999999999964,0.039,0.024,26.3,"43.8",7.87571264932283,6.400754672017779,33.530351538664874,0.5789473684210527,35.22811227828488,31.403592773089027
43,696285,"Young, Jacob",1367,3.1,0.1,0,0.111,0.1,0.143,0.265,0.213,1,10,82.7,-7.4,2395,90.3,90.91,1,17,26,0.6000000000000085,6.63,96,151,101,148,310,328,285,"1.489","-1.489","65.0","7.0",11,9,1,0,0,0,1,9.1,1,9.1,2.31907,0.49977,-0.0814,-0.0814,"91.5",137,33.33333333333333,0,0,5.89,-1.41,0.17,1.97,0.182,0,"-3.462790698",0.284,0.305,"3.462790698",-0.113,-0.10199999999999998,-0.205,-0.122,5.9,"49.2",5.44379805364358,7.665560070046429,32.25473714739412,0.6875,41.678304039617615,22.38222302462735
42,607208,"Turner, Trea",2407,1.7,0.154,0,0.167,0.154,0.136,0.261,0.236,2,13,90.8,16,2135,89.4,89.47,5,21,21,0.09999999999999432,6.28,118,152,122,148,307,328,295,"1.703","-1.703","68.6","7.2",13,12,2,0,0,0,1,7.7,0,0,2.4069,0.4631,0.5,-0.32238,"91.9",205,16.666666666666664,8.333333333333332,7.6923076923076925,6.03,-0.34,0.17,2.25,0.154,1,"-4.054761905",0.236,0.381,"4.054761905",-0.082,-0.08199999999999999,-0.227,-0.125,23.8,"44.1",5.362933112327463,4.413453642993365,29.687033926457115,0.45,38.300206683330124,25.798295059973196
